지점,지점명,시간(UTC),월평균 기온 (°C),월평균 일최고기온 (°C),월평균 일최저기온 (°C),최대 일강수량 (mm),일평균 기온의 월표준편차
71134, 서스캐처원,2019-04-30 0:00,-17.2,-12,-21.9,15.4,4.6
71134, 서스캐처원,2019-05-31 0:00,-2.5,-0.3,-5.1,0,2.7
71134, 서스캐처원,2019-06-30 0:00,5.6,9.7,1.8,0,4.5
71134, 서스캐처원,2019-07-31 0:00,9.8,13.8,5.6,,1.5
71134, 서스캐처원,2019-08-31 0:00,9.6,13.5,5.6,,1.6
71134, 서스캐처원,2019-09-30 0:00,4.5,7.1,1.7,,1.8
71134, 서스캐처원,2019-10-31 0:00,-1.8,0.1,-4.4,10.3,2.6
71134, 서스캐처원,2019-11-30 0:00,-12.6,-7.9,-17.5,,4.1
71134, 서스캐처원,2019-12-31 0:00,-21.1,-16.4,-26.6,,5.7
71134, 서스캐처원,2020-01-31 0:00,-26.3,-22.1,-30.7,,6.4
71134, 서스캐처원,2020-02-29 0:00,-30.9,-27,-35.1,,6.1
71134, 서스캐처원,2020-03-31 0:00,-23.9,-19.8,-29.1,,5.3
71134, 서스캐처원,2020-04-30 0:00,-16.1,-11.5,-22,,4.3
71134, 서스캐처원,2020-05-31 0:00,-7.1,-3.9,-11.9,,3.2
71134, 서스캐처원,2020-06-30 0:00,4.1,7.6,0,,5.1
71134, 서스캐처원,2020-07-31 0:00,13.3,17.9,8.6,,2.3
71134, 서스캐처원,2020-08-31 0:00,10.7,15.4,5.5,,3.4
71134, 서스캐처원,2020-09-30 0:00,2.6,5.4,-0.2,,3.4
71134, 서스캐처원,2020-10-31 0:00,-5.3,-2.5,-9.2,,4.5
71134, 서스캐처원,2020-11-30 0:00,-15.6,-11.1,-21.3,6.6,5.3
71134, 서스캐처원,2020-12-31 0:00,-18.9,-15,-23.5,,9.1
71134, 서스캐처원,2021-01-31 0:00,-23,-18.4,-28,,6.3
71134, 서스캐처원,2021-02-28 0:00,-23.4,-19.5,-28.5,,8.1
71134, 서스캐처원,2021-03-31 0:00,-25.9,-21.7,-30.7,,5.2
71134, 서스캐처원,2021-04-30 0:00,-13.6,-9.2,-19.5,,5.5
71134, 서스캐처원,2021-05-31 0:00,-5.7,-2.8,-9.8,,4.3
71134, 서스캐처원,2021-06-30 0:00,2.3,5.2,-1.2,,3.1
71134, 서스캐처원,2021-07-31 0:00,8.2,12,4.2,,2.6
71134, 서스캐처원,2021-08-31 0:00,7.4,10.7,4.2,,1.4
71134, 서스캐처원,2021-09-30 0:00,3,5.4,0.3,,2.4
71134, 서스캐처원,2021-10-31 0:00,0.2,2.3,-2,,2.3
71134, 서스캐처원,2021-11-30 0:00,-12.6,-8.7,-17.2,5.6,4.7
71134, 서스캐처원,2021-12-31 0:00,-20.3,-16.9,-24.2,,4.6
71134, 서스캐처원,2022-01-31 0:00,-26.9,-23.4,-30.8,,5.5
71134, 서스캐처원,2022-02-28 0:00,-31.1,-27.4,-35.2,,3.6
71134, 서스캐처원,2022-03-31 0:00,-22.4,-18.4,-27.2,2.2,6.9
71134, 서스캐처원,2022-04-30 0:00,-15.8,-11.4,-21.9,0.8,5.1
71134, 서스캐처원,2022-05-31 0:00,-4.7,-1.8,-8.5,3.5,3.7
71134, 서스캐처원,2022-06-30 0:00,6.8,11.3,1.9,0,2.6
71134, 서스캐처원,2022-07-31 0:00,12.9,17.8,7.2,4.5,2.3
71134, 서스캐처원,2022-08-31 0:00,8.9,12.9,4.5,9.1,2.8
71134, 서스캐처원,2022-09-30 0:00,4,6.7,1.2,,2.7
71134, 서스캐처원,2022-10-31 0:00,-3.3,-0.7,-6.5,14.8,3.9
71134, 서스캐처원,2022-11-30 0:00,-16.9,-12.7,-21.4,,5.2
71134, 서스캐처원,2022-12-31 0:00,-17.3,-13.5,-21.4,,6.6
71134, 서스캐처원,2023-01-31 0:00,-29.6,-25.8,-33.9,,6.9
71134, 서스캐처원,2023-02-28 0:00,-36.2,-32.4,-40.4,,4.4
71134, 서스캐처원,2023-05-31 0:00,-3.5,-0.6,-7.5,7.9,2.4
71134, 서스캐처원,2023-06-30 0:00,4.1,7.2,0.7,10.8,2.6
71134, 서스캐처원,2023-07-31 0:00,9.8,13.7,5.5,11.3,2.7
71134, 서스캐처원,2023-08-31 0:00,9.6,13.4,5.7,,3
71134, 서스캐처원,2023-09-30 0:00,3.9,6.7,1.1,28.2,1.6
71134, 서스캐처원,2023-10-31 0:00,-3.4,-0.8,-6.5,2,5.2
71134, 서스캐처원,2023-11-30 0:00,-9.4,-6,-13.9,5.8,4.7
71134, 서스캐처원,2023-12-31 0:00,-17.5,-13.1,-22.3,47.4,8.8
71134, 서스캐처원,2024-01-31 0:00,-22.9,-18.6,-27,,9.4
71134, 서스캐처원,2024-02-29 0:00,-27.9,-24.1,-32.9,,5.7
71134, 서스캐처원,2024-03-31 0:00,-18,-14.6,-22.3,5,6.8
71134, 서스캐처원,2024-04-30 0:00,-12.4,-7.4,-19.1,6.1,5.3
71134, 서스캐처원,2024-05-31 0:00,-3.3,-0.1,-7.6,1.6,3.2
71134, 서스캐처원,2024-06-30 0:00,3.5,6.5,0.4,1.3,2.9
71134, 서스캐처원,2024-07-31 0:00,9.7,13.9,5.3,22.9,2.4
71134, 서스캐처원,2024-08-31 0:00,10.7,15.7,5.8,4.1,3.9
71134, 서스캐처원,2024-09-30 0:00,5.6,8.2,3,,1.8
71134, 서스캐처원,2024-10-31 0:00,-0.6,1.6,-3.1,14.6,4.5
